#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    89    0.23356E+04   -0.15701E+02   -0.13583E-03   -0.15701E+02    0.57478E+00   -0.85675E-06   -0.13583E-03   -0.85675E-06    0.11878E-06
    90    0.23634E+04   -0.16303E+02   -0.13184E-03   -0.16303E+02    0.58944E+00   -0.91192E-06   -0.13184E-03   -0.91192E-06    0.11791E-06
    91    0.23912E+04   -0.16911E+02   -0.12792E-03   -0.16911E+02    0.60410E+00   -0.95499E-06   -0.12792E-03   -0.95499E-06    0.11704E-06
    92    0.24194E+04   -0.17524E+02   -0.12407E-03   -0.17524E+02    0.61874E+00   -0.98591E-06   -0.12407E-03   -0.98591E-06    0.11617E-06
    93    0.24480E+04   -0.18141E+02   -0.12028E-03   -0.18141E+02    0.63336E+00   -0.10056E-05   -0.12028E-03   -0.10056E-05    0.11531E-06
    94    0.24766E+04   -0.18761E+02   -0.11656E-03   -0.18761E+02    0.64791E+00   -0.10152E-05   -0.11656E-03   -0.10152E-05    0.11446E-06
    95    0.25055E+04   -0.19386E+02   -0.11290E-03   -0.19386E+02    0.66240E+00   -0.10155E-05   -0.11290E-03   -0.10155E-05    0.11362E-06
    96    0.25344E+04   -0.20014E+02   -0.10930E-03   -0.20014E+02    0.67681E+00   -0.10075E-05   -0.10930E-03   -0.10075E-05    0.11278E-06
    97    0.25638E+04   -0.20644E+02   -0.10575E-03   -0.20644E+02    0.69114E+00   -0.99215E-06   -0.10575E-03   -0.99215E-06    0.11194E-06
    98    0.25934E+04   -0.21275E+02   -0.10226E-03   -0.21275E+02    0.70537E+00   -0.97050E-06   -0.10226E-03   -0.97050E-06    0.11111E-06
    99    0.26232E+04   -0.21910E+02   -0.98818E-04   -0.21910E+02    0.71946E+00   -0.94348E-06   -0.98818E-04   -0.94348E-06    0.11029E-06
   100    0.26532E+04   -0.22543E+02   -0.95424E-04   -0.22543E+02    0.73342E+00   -0.91204E-06   -0.95424E-04   -0.91204E-06    0.10948E-06
   101    0.26834E+04   -0.23178E+02   -0.92075E-04   -0.23178E+02    0.74731E+00   -0.87717E-06   -0.92075E-04   -0.87717E-06    0.10867E-06
   102    0.27141E+04   -0.23814E+02   -0.88769E-04   -0.23814E+02    0.76098E+00   -0.83983E-06   -0.88769E-04   -0.83983E-06    0.10786E-06
   103    0.27448E+04   -0.24449E+02   -0.85503E-04   -0.24449E+02    0.77451E+00   -0.80098E-06   -0.85503E-04   -0.80098E-06    0.10707E-06
   104    0.27757E+04   -0.25083E+02   -0.82276E-04   -0.25083E+02    0.78789E+00   -0.76160E-06   -0.82276E-04   -0.76160E-06    0.10628E-06
   105    0.28067E+04   -0.25716E+02   -0.79083E-04   -0.25716E+02    0.80105E+00   -0.72265E-06   -0.79083E-04   -0.72265E-06    0.10549E-06
   106    0.28380E+04   -0.26347E+02   -0.75923E-04   -0.26347E+02    0.81407E+00   -0.68510E-06   -0.75923E-04   -0.68510E-06    0.10472E-06
   107    0.28693E+04   -0.26975E+02   -0.72794E-04   -0.26975E+02    0.82680E+00   -0.64991E-06   -0.72794E-04   -0.64991E-06    0.10395E-06
   108    0.29009E+04   -0.27601E+02   -0.69692E-04   -0.27601E+02    0.83932E+00   -0.61806E-06   -0.69692E-04   -0.61806E-06    0.10318E-06
   109    0.29327E+04   -0.28223E+02   -0.66614E-04   -0.28223E+02    0.85154E+00   -0.59052E-06   -0.66614E-04   -0.59052E-06    0.10243E-06
   110    0.29645E+04   -0.28840E+02   -0.63560E-04   -0.28840E+02    0.86348E+00   -0.56824E-06   -0.63560E-04   -0.56824E-06    0.10168E-06
   111    0.29966E+04   -0.29454E+02   -0.60525E-04   -0.29454E+02    0.87520E+00   -0.55197E-06   -0.60525E-04   -0.55197E-06    0.10093E-06
   112    0.30287E+04   -0.30063E+02   -0.57512E-04   -0.30063E+02    0.88664E+00   -0.54147E-06   -0.57512E-04   -0.54147E-06    0.10020E-06
   113    0.30612E+04   -0.30667E+02   -0.54521E-04   -0.30667E+02    0.89779E+00   -0.53630E-06   -0.54521E-04   -0.53630E-06    0.99465E-07
   114    0.30937E+04   -0.31264E+02   -0.51552E-04   -0.31264E+02    0.90857E+00   -0.53598E-06   -0.51552E-04   -0.53598E-06    0.98741E-07
   115    0.31264E+04   -0.31854E+02   -0.48608E-04   -0.31854E+02    0.91915E+00   -0.54008E-06   -0.48608E-04   -0.54008E-06    0.98024E-07
   116    0.31591E+04   -0.32437E+02   -0.45690E-04   -0.32437E+02    0.92929E+00   -0.54811E-06   -0.45690E-04   -0.54811E-06    0.97313E-07
   117    0.31921E+04   -0.33011E+02   -0.42797E-04   -0.33011E+02    0.93907E+00   -0.55964E-06   -0.42797E-04   -0.55964E-06    0.96609E-07
   118    0.32253E+04   -0.33578E+02   -0.39932E-04   -0.33578E+02    0.94864E+00   -0.57419E-06   -0.39932E-04   -0.57419E-06    0.95912E-07
   119    0.32585E+04   -0.34136E+02   -0.37096E-04   -0.34136E+02    0.95785E+00   -0.59131E-06   -0.37096E-04   -0.59131E-06    0.95221E-07
   120    0.32918E+04   -0.34684E+02   -0.34289E-04   -0.34684E+02    0.96655E+00   -0.61055E-06   -0.34289E-04   -0.61055E-06    0.94537E-07
   121    0.33251E+04   -0.35222E+02   -0.31512E-04   -0.35222E+02    0.97504E+00   -0.63143E-06   -0.31512E-04   -0.63143E-06    0.93859E-07
   122    0.33585E+04   -0.35750E+02   -0.28768E-04   -0.35750E+02    0.98302E+00   -0.65351E-06   -0.28768E-04   -0.65351E-06    0.93187E-07
