#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.159204E-01   0.140965E+08   0.140734E+08   0.298848E+04   0.379146E+04   0.777877E+07   0.140643E+08   0.140928E+08   0.140643E+08  -0.332142E+00   0.897476E+07   0.897418E+07   0.120943E+02
   0.175792E-01   0.134353E+08   0.134089E+08   0.256657E+04   0.296369E+04   0.702288E+07   0.134022E+08   0.134311E+08   0.134022E+08  -0.316506E+00   0.855210E+07   0.855152E+07   0.111089E+02
   0.194108E-01   0.127243E+08   0.126943E+08   0.198609E+04   0.230198E+04   0.627756E+07   0.126904E+08   0.127196E+08   0.126904E+08  -0.299698E+00   0.809791E+07   0.809731E+07   0.102062E+02
   0.214333E-01   0.119783E+08   0.119446E+08   0.164484E+04   0.177722E+04   0.555734E+07   0.119440E+08   0.119730E+08   0.119440E+08  -0.282069E+00   0.762162E+07   0.762101E+07   0.937063E+01
   0.236665E-01   0.111917E+08   0.111542E+08   0.120197E+04   0.136181E+04   0.486485E+07   0.111572E+08   0.111858E+08   0.111572E+08  -0.263489E+00   0.711968E+07   0.711907E+07   0.857352E+01
   0.261324E-01   0.103916E+08   0.103506E+08   0.967038E+03   0.103698E+04   0.421669E+07   0.103573E+08   0.103852E+08   0.103573E+08  -0.244597E+00   0.660935E+07   0.660874E+07   0.780028E+01
   0.288552E-01   0.958741E+07   0.954339E+07   0.665467E+03   0.784612E+03   0.361803E+07   0.955348E+07   0.958045E+07   0.955348E+07  -0.225615E+00   0.609660E+07   0.609600E+07   0.702903E+01
   0.318617E-01   0.878278E+07   0.873675E+07   0.467205E+03   0.589456E+03   0.307072E+07   0.874970E+07   0.877550E+07   0.874970E+07  -0.206633E+00   0.558385E+07   0.558325E+07   0.623855E+01
   0.351815E-01   0.799898E+07   0.795234E+07   0.345566E+03   0.440275E+03   0.258109E+07   0.796714E+07   0.799161E+07   0.796714E+07  -0.188152E+00   0.508461E+07   0.508404E+07   0.542051E+01
   0.388471E-01   0.726345E+07   0.721801E+07   0.263463E+03   0.327878E+03   0.215475E+07   0.723320E+07   0.725627E+07   0.723320E+07  -0.170819E+00   0.461638E+07   0.461584E+07   0.457843E+01
   0.428947E-01   0.659392E+07   0.655175E+07   0.166667E+03   0.244126E+03   0.179142E+07   0.656556E+07   0.658726E+07   0.656556E+07  -0.155052E+00   0.419044E+07   0.418996E+07   0.372818E+01
   0.471842E-01   0.602423E+07   0.598711E+07   0.184333E+03   0.184333E+03   0.149848E+07   0.599792E+07   0.601837E+07   0.599792E+07  -0.141647E+00   0.382833E+07   0.382791E+07   0.292079E+01
   0.514737E-01   0.557626E+07   0.554501E+07   0.143385E+03   0.143385E+03   0.127574E+07   0.555189E+07   0.557132E+07   0.555189E+07  -0.131114E+00   0.354375E+07   0.354340E+07   0.225552E+01
   0.557631E-01   0.521242E+07   0.518702E+07   0.114216E+03   0.114216E+03   0.110130E+07   0.518983E+07   0.520841E+07   0.518983E+07  -0.122563E+00   0.331274E+07   0.331246E+07   0.172506E+01
   0.600526E-01   0.490394E+07   0.488364E+07   0.926647E+02   0.926647E+02   0.960507E+06   0.488291E+07   0.490073E+07   0.488291E+07  -0.115315E+00   0.311692E+07   0.311668E+07   0.132843E+01
   0.643421E-01   0.462932E+07   0.461290E+07   0.762080E+02   0.762080E+02   0.843426E+06   0.460961E+07   0.462672E+07   0.460961E+07  -0.108861E+00   0.294253E+07   0.294233E+07   0.105448E+01
   0.686315E-01   0.437069E+07   0.435671E+07   0.632411E+02   0.632411E+02   0.742945E+06   0.435208E+07   0.436848E+07   0.435208E+07  -0.102779E+00   0.277820E+07   0.277802E+07   0.883392E+00
   0.729210E-01   0.411547E+07   0.410253E+07   0.527491E+02   0.527491E+02   0.654426E+06   0.409778E+07   0.411343E+07   0.409778E+07  -0.967732E-01   0.261592E+07   0.261575E+07   0.790169E+00
   0.772105E-01   0.386498E+07   0.385193E+07   0.441855E+02   0.441855E+02   0.576348E+06   0.384805E+07   0.386291E+07   0.384805E+07  -0.908755E-01   0.245655E+07   0.245637E+07   0.749376E+00
   0.815000E-01   0.361302E+07   0.359911E+07   0.370688E+02   0.370688E+02   0.506391E+06   0.359678E+07   0.361082E+07   0.359678E+07  -0.849416E-01   0.229618E+07   0.229600E+07   0.735393E+00
   0.857894E-01   0.337100E+07   0.335593E+07   0.312106E+02   0.312106E+02   0.445018E+06   0.335540E+07   0.336862E+07   0.335540E+07  -0.792411E-01   0.214212E+07   0.214194E+07   0.728914E+00
   0.900789E-01   0.314578E+07   0.312966E+07   0.264148E+02   0.264148E+02   0.391949E+06   0.313079E+07   0.314323E+07   0.313079E+07  -0.739367E-01   0.199876E+07   0.199857E+07   0.715675E+00
   0.954276E-01   0.289639E+07   0.287960E+07   0.216685E+02   0.216685E+02   0.336681E+06   0.288217E+07   0.289374E+07   0.288217E+07  -0.680654E-01   0.184008E+07   0.183988E+07   0.678057E+00
   0.100776E+00   0.268820E+07   0.267172E+07   0.180318E+02   0.180318E+02   0.292330E+06   0.267477E+07   0.268559E+07   0.267477E+07  -0.631673E-01   0.170769E+07   0.170750E+07   0.614662E+00
   0.106125E+00   0.252278E+07   0.250758E+07   0.152597E+02   0.152597E+02   0.257257E+06   0.251014E+07   0.252038E+07   0.251014E+07  -0.592795E-01   0.160261E+07   0.160244E+07   0.532581E+00
   0.111474E+00   0.239399E+07   0.238074E+07   0.131254E+02   0.131254E+02   0.229412E+06   0.238211E+07   0.239189E+07   0.238211E+07  -0.562559E-01   0.152088E+07   0.152074E+07   0.444077E+00
