#    L    TT             EE             TE             PP             TP          
   172    0.49221E+04    0.84600E+00   -0.38892E+02    0.30863E+07    0.86360E+03
   173    0.49474E+04    0.83540E+00   -0.38350E+02    0.30678E+07    0.87193E+03
   174    0.49724E+04    0.82496E+00   -0.37781E+02    0.30495E+07    0.87987E+03
   175    0.49970E+04    0.81439E+00   -0.37185E+02    0.30314E+07    0.88744E+03
   176    0.50211E+04    0.80390E+00   -0.36561E+02    0.30134E+07    0.89466E+03
   177    0.50448E+04    0.79342E+00   -0.35912E+02    0.29955E+07    0.90156E+03
   178    0.50680E+04    0.78318E+00   -0.35236E+02    0.29779E+07    0.90812E+03
   179    0.50908E+04    0.77288E+00   -0.34533E+02    0.29604E+07    0.91438E+03
   180    0.51133E+04    0.76273E+00   -0.33805E+02    0.29430E+07    0.92032E+03
   181    0.51352E+04    0.75274E+00   -0.33050E+02    0.29258E+07    0.92598E+03
   182    0.51567E+04    0.74298E+00   -0.32269E+02    0.29088E+07    0.93134E+03
   183    0.51777E+04    0.73338E+00   -0.31462E+02    0.28919E+07    0.93643E+03
   184    0.51983E+04    0.72401E+00   -0.30629E+02    0.28752E+07    0.94125E+03
   185    0.52184E+04    0.71501E+00   -0.29771E+02    0.28586E+07    0.94581E+03
   186    0.52378E+04    0.70625E+00   -0.28887E+02    0.28421E+07    0.95013E+03
   187    0.52569E+04    0.69786E+00   -0.27976E+02    0.28258E+07    0.95420E+03
   188    0.52756E+04    0.68983E+00   -0.27042E+02    0.28097E+07    0.95805E+03
   189    0.52936E+04    0.68220E+00   -0.26082E+02    0.27937E+07    0.96168E+03
   190    0.53115E+04    0.67501E+00   -0.25099E+02    0.27778E+07    0.96509E+03
   191    0.53286E+04    0.66829E+00   -0.24090E+02    0.27620E+07    0.96831E+03
   192    0.53452E+04    0.66207E+00   -0.23056E+02    0.27464E+07    0.97133E+03
   193    0.53613E+04    0.65637E+00   -0.22000E+02    0.27310E+07    0.97417E+03
