#    L    TT             EE             TE             PP             TP          
   157    0.45953E+04    0.10358E+01   -0.45499E+02    0.42799E+07   -0.35904E+04
   158    0.46262E+04    0.10281E+01   -0.45351E+02    0.42532E+07   -0.35247E+04
   159    0.46569E+04    0.10199E+01   -0.45179E+02    0.42267E+07   -0.34602E+04
   160    0.46873E+04    0.10115E+01   -0.44979E+02    0.42005E+07   -0.33970E+04
   161    0.47174E+04    0.10028E+01   -0.44753E+02    0.41745E+07   -0.33351E+04
   162    0.47473E+04    0.99377E+00   -0.44502E+02    0.41488E+07   -0.32743E+04
   163    0.47770E+04    0.98443E+00   -0.44224E+02    0.41233E+07   -0.32147E+04
   164    0.48063E+04    0.97486E+00   -0.43920E+02    0.40980E+07   -0.31563E+04
   165    0.48354E+04    0.96499E+00   -0.43589E+02    0.40729E+07   -0.30990E+04
   166    0.48642E+04    0.95497E+00   -0.43231E+02    0.40481E+07   -0.30427E+04
   167    0.48927E+04    0.94458E+00   -0.42847E+02    0.40235E+07   -0.29875E+04
   168    0.49209E+04    0.93419E+00   -0.42435E+02    0.39991E+07   -0.29334E+04
   169    0.49487E+04    0.92351E+00   -0.41996E+02    0.39750E+07   -0.28802E+04
   170    0.49761E+04    0.91275E+00   -0.41530E+02    0.39510E+07   -0.28280E+04
   171    0.50032E+04    0.90191E+00   -0.41035E+02    0.39273E+07   -0.27768E+04
   172    0.50298E+04    0.89093E+00   -0.40513E+02    0.39038E+07   -0.27264E+04
   173    0.50560E+04    0.87980E+00   -0.39964E+02    0.38805E+07   -0.26770E+04
   174    0.50819E+04    0.86882E+00   -0.39387E+02    0.38574E+07   -0.26284E+04
   175    0.51073E+04    0.85769E+00   -0.38782E+02    0.38345E+07   -0.25806E+04
   176    0.51323E+04    0.84664E+00   -0.38150E+02    0.38119E+07   -0.25336E+04
   177    0.51568E+04    0.83559E+00   -0.37490E+02    0.37894E+07   -0.24874E+04
   178    0.51809E+04    0.82476E+00   -0.36803E+02    0.37671E+07   -0.24419E+04
   179    0.52045E+04    0.81387E+00   -0.36087E+02    0.37450E+07   -0.23972E+04
   180    0.52278E+04    0.80312E+00   -0.35345E+02    0.37231E+07   -0.23533E+04
   181    0.52506E+04    0.79253E+00   -0.34577E+02    0.37015E+07   -0.23100E+04
   182    0.52729E+04    0.78216E+00   -0.33780E+02    0.36800E+07   -0.22674E+04
   183    0.52946E+04    0.77195E+00   -0.32957E+02    0.36587E+07   -0.22255E+04
   184    0.53160E+04    0.76196E+00   -0.32106E+02    0.36376E+07   -0.21843E+04
   185    0.53369E+04    0.75236E+00   -0.31231E+02    0.36166E+07   -0.21437E+04
   186    0.53570E+04    0.74299E+00   -0.30327E+02    0.35959E+07   -0.21038E+04
   187    0.53769E+04    0.73399E+00   -0.29397E+02    0.35753E+07   -0.20644E+04
   188    0.53963E+04    0.72536E+00   -0.28442E+02    0.35549E+07   -0.20256E+04
   189    0.54151E+04    0.71714E+00   -0.27460E+02    0.35347E+07   -0.19875E+04
   190    0.54337E+04    0.70936E+00   -0.26454E+02    0.35147E+07   -0.19498E+04
   191    0.54514E+04    0.70207E+00   -0.25421E+02    0.34948E+07   -0.19127E+04
   192    0.54688E+04    0.69527E+00   -0.24363E+02    0.34751E+07   -0.18762E+04
   193    0.54855E+04    0.68902E+00   -0.23281E+02    0.34556E+07   -0.18401E+04
   194    0.55018E+04    0.68334E+00   -0.22174E+02    0.34363E+07   -0.18046E+04
   195    0.55176E+04    0.67828E+00   -0.21043E+02    0.34171E+07   -0.17695E+04
   196    0.55327E+04    0.67386E+00   -0.19888E+02    0.33981E+07   -0.17348E+04
   197    0.55474E+04    0.67014E+00   -0.18710E+02    0.33792E+07   -0.17007E+04
   198    0.55615E+04    0.66714E+00   -0.17509E+02    0.33605E+07   -0.16669E+04
   199    0.55752E+04    0.66490E+00   -0.16285E+02    0.33419E+07   -0.16335E+04
   200    0.55883E+04    0.66344E+00   -0.15039E+02    0.33235E+07   -0.16006E+04
   201    0.56007E+04    0.66283E+00   -0.13770E+02    0.33053E+07   -0.15680E+04
   202    0.56127E+04    0.66307E+00   -0.12480E+02    0.32872E+07   -0.15357E+04
