#    L    TT             EE             TE             PP             TP          
   294    0.56220E-09    0.10456E-11    0.15304E-10    0.20825E-06    0.14189E-09
   295    0.55786E-09    0.10679E-11    0.15377E-10    0.20740E-06    0.14061E-09
   296    0.55348E-09    0.10904E-11    0.15447E-10    0.20655E-06    0.13934E-09
   297    0.54909E-09    0.11130E-11    0.15513E-10    0.20570E-06    0.13809E-09
   298    0.54467E-09    0.11358E-11    0.15573E-10    0.20486E-06    0.13684E-09
   299    0.54025E-09    0.11588E-11    0.15629E-10    0.20403E-06    0.13560E-09
   300    0.53581E-09    0.11819E-11    0.15679E-10    0.20320E-06    0.13437E-09
   301    0.53135E-09    0.12051E-11    0.15725E-10    0.20237E-06    0.13315E-09
   302    0.52690E-09    0.12285E-11    0.15768E-10    0.20155E-06    0.13193E-09
   303    0.52244E-09    0.12520E-11    0.15804E-10    0.20074E-06    0.13073E-09
   304    0.51797E-09    0.12758E-11    0.15835E-10    0.19993E-06    0.12954E-09
   305    0.51349E-09    0.12995E-11    0.15862E-10    0.19913E-06    0.12836E-09
   306    0.50901E-09    0.13234E-11    0.15884E-10    0.19833E-06    0.12718E-09
   307    0.50452E-09    0.13473E-11    0.15899E-10    0.19753E-06    0.12602E-09
   308    0.50004E-09    0.13716E-11    0.15913E-10    0.19674E-06    0.12486E-09
   309    0.49556E-09    0.13957E-11    0.15919E-10    0.19595E-06    0.12371E-09
   310    0.49107E-09    0.14199E-11    0.15921E-10    0.19517E-06    0.12257E-09
   311    0.48660E-09    0.14443E-11    0.15917E-10    0.19440E-06    0.12144E-09
   312    0.48213E-09    0.14687E-11    0.15910E-10    0.19362E-06    0.12032E-09
   313    0.47766E-09    0.14931E-11    0.15896E-10    0.19286E-06    0.11921E-09
   314    0.47320E-09    0.15177E-11    0.15879E-10    0.19209E-06    0.11811E-09
   315    0.46875E-09    0.15422E-11    0.15855E-10    0.19133E-06    0.11701E-09
   316    0.46431E-09    0.15668E-11    0.15827E-10    0.19058E-06    0.11592E-09
   317    0.45987E-09    0.15912E-11    0.15794E-10    0.18983E-06    0.11484E-09
   318    0.45545E-09    0.16159E-11    0.15756E-10    0.18908E-06    0.11377E-09
   319    0.45104E-09    0.16405E-11    0.15713E-10    0.18834E-06    0.11271E-09
   320    0.44666E-09    0.16651E-11    0.15666E-10    0.18761E-06    0.11165E-09
   321    0.44228E-09    0.16898E-11    0.15613E-10    0.18687E-06    0.11060E-09
