#    L    TT             EE             BB             TE          
   343    0.26079E+04    0.16423E+02    0.32193E-01    0.96708E+02
   344    0.25810E+04    0.16581E+02    0.32295E-01    0.95518E+02
   345    0.25542E+04    0.16737E+02    0.32398E-01    0.94299E+02
   346    0.25278E+04    0.16893E+02    0.32499E-01    0.93059E+02
   347    0.25017E+04    0.17045E+02    0.32601E-01    0.91782E+02
   348    0.24760E+04    0.17196E+02    0.32702E-01    0.90477E+02
   349    0.24506E+04    0.17345E+02    0.32802E-01    0.89142E+02
   350    0.24255E+04    0.17491E+02    0.32902E-01    0.87786E+02
   351    0.24009E+04    0.17636E+02    0.33002E-01    0.86401E+02
   352    0.23765E+04    0.17778E+02    0.33102E-01    0.84986E+02
   353    0.23525E+04    0.17918E+02    0.33201E-01    0.83558E+02
   354    0.23287E+04    0.18055E+02    0.33299E-01    0.82092E+02
   355    0.23055E+04    0.18190E+02    0.33398E-01    0.80606E+02
   356    0.22826E+04    0.18323E+02    0.33496E-01    0.79105E+02
   357    0.22600E+04    0.18454E+02    0.33594E-01    0.77574E+02
   358    0.22379E+04    0.18580E+02    0.33692E-01    0.76030E+02
   359    0.22161E+04    0.18705E+02    0.33790E-01    0.74456E+02
   360    0.21947E+04    0.18827E+02    0.33887E-01    0.72864E+02
   361    0.21737E+04    0.18946E+02    0.33985E-01    0.71250E+02
   362    0.21531E+04    0.19063E+02    0.34082E-01    0.69616E+02
   363    0.21328E+04    0.19177E+02    0.34179E-01    0.67965E+02
   364    0.21130E+04    0.19287E+02    0.34276E-01    0.66293E+02
   365    0.20936E+04    0.19395E+02    0.34373E-01    0.64606E+02
   366    0.20746E+04    0.19500E+02    0.34470E-01    0.62900E+02
   367    0.20561E+04    0.19600E+02    0.34567E-01    0.61179E+02
   368    0.20378E+04    0.19699E+02    0.34664E-01    0.59443E+02
   369    0.20201E+04    0.19794E+02    0.34761E-01    0.57690E+02
   370    0.20028E+04    0.19886E+02    0.34858E-01    0.55926E+02
   371    0.19859E+04    0.19975E+02    0.34955E-01    0.54147E+02
   372    0.19694E+04    0.20060E+02    0.35053E-01    0.52356E+02
   373    0.19533E+04    0.20142E+02    0.35150E-01    0.50552E+02
   374    0.19377E+04    0.20221E+02    0.35247E-01    0.48738E+02
   375    0.19224E+04    0.20296E+02    0.35345E-01    0.46914E+02
   376    0.19076E+04    0.20369E+02    0.35443E-01    0.45079E+02
   377    0.18933E+04    0.20437E+02    0.35541E-01    0.43238E+02
   378    0.18793E+04    0.20502E+02    0.35639E-01    0.41386E+02
   379    0.18658E+04    0.20563E+02    0.35738E-01    0.39528E+02
   380    0.18528E+04    0.20622E+02    0.35836E-01    0.37662E+02
   381    0.18401E+04    0.20674E+02    0.35935E-01    0.35791E+02
   382    0.18279E+04    0.20725E+02    0.36035E-01    0.33916E+02
   383    0.18161E+04    0.20772E+02    0.36134E-01    0.32035E+02
   384    0.18048E+04    0.20814E+02    0.36234E-01    0.30152E+02
   385    0.17938E+04    0.20854E+02    0.36334E-01    0.28265E+02
   386    0.17834E+04    0.20890E+02    0.36435E-01    0.26376E+02
   387    0.17733E+04    0.20922E+02    0.36536E-01    0.24486E+02
   388    0.17636E+04    0.20950E+02    0.36637E-01    0.22596E+02
   389    0.17543E+04    0.20972E+02    0.36739E-01    0.20706E+02
   390    0.17456E+04    0.20994E+02    0.36841E-01    0.18818E+02
   391    0.17372E+04    0.21010E+02    0.36943E-01    0.16931E+02
   392    0.17292E+04    0.21025E+02    0.37046E-01    0.15047E+02
   393    0.17217E+04    0.21034E+02    0.37150E-01    0.13166E+02
   394    0.17146E+04    0.21040E+02    0.37253E-01    0.11290E+02
