#    L    TT             EE             BB             TE          
   229    0.56868E+04    0.11750E+01    0.21738E-01    0.28747E+02
   230    0.56811E+04    0.12146E+01    0.21943E-01    0.30413E+02
   231    0.56748E+04    0.12561E+01    0.22148E-01    0.32085E+02
   232    0.56679E+04    0.12994E+01    0.22354E-01    0.33760E+02
   233    0.56605E+04    0.13447E+01    0.22560E-01    0.35438E+02
   234    0.56523E+04    0.13919E+01    0.22766E-01    0.37118E+02
   235    0.56435E+04    0.14411E+01    0.22973E-01    0.38799E+02
   236    0.56341E+04    0.14922E+01    0.23180E-01    0.40481E+02
   237    0.56241E+04    0.15453E+01    0.23387E-01    0.42163E+02
   238    0.56134E+04    0.16006E+01    0.23594E-01    0.43844E+02
   239    0.56023E+04    0.16577E+01    0.23802E-01    0.45525E+02
   240    0.55903E+04    0.17170E+01    0.24010E-01    0.47202E+02
   241    0.55780E+04    0.17783E+01    0.24218E-01    0.48877E+02
   242    0.55650E+04    0.18417E+01    0.24427E-01    0.50548E+02
   243    0.55514E+04    0.19073E+01    0.24635E-01    0.52215E+02
   244    0.55372E+04    0.19750E+01    0.24844E-01    0.53877E+02
   245    0.55224E+04    0.20448E+01    0.25052E-01    0.55533E+02
   246    0.55071E+04    0.21168E+01    0.25261E-01    0.57183E+02
   247    0.54912E+04    0.21909E+01    0.25469E-01    0.58825E+02
   248    0.54748E+04    0.22675E+01    0.25678E-01    0.60459E+02
   249    0.54578E+04    0.23460E+01    0.25887E-01    0.62085E+02
   250    0.54403E+04    0.24269E+01    0.26095E-01    0.63700E+02
   251    0.54223E+04    0.25099E+01    0.26303E-01    0.65306E+02
   252    0.54037E+04    0.25953E+01    0.26512E-01    0.66902E+02
   253    0.53847E+04    0.26827E+01    0.26720E-01    0.68485E+02
   254    0.53651E+04    0.27725E+01    0.26928E-01    0.70056E+02
   255    0.53450E+04    0.28644E+01    0.27135E-01    0.71615E+02
   256    0.53244E+04    0.29587E+01    0.27343E-01    0.73161E+02
   257    0.53034E+04    0.30551E+01    0.27550E-01    0.74687E+02
   258    0.52819E+04    0.31538E+01    0.27756E-01    0.76204E+02
   259    0.52599E+04    0.32548E+01    0.27963E-01    0.77700E+02
   260    0.52375E+04    0.33581E+01    0.28169E-01    0.79187E+02
   261    0.52146E+04    0.34635E+01    0.28375E-01    0.80644E+02
   262    0.51912E+04    0.35712E+01    0.28580E-01    0.82094E+02
   263    0.51676E+04    0.36811E+01    0.28785E-01    0.83528E+02
   264    0.51434E+04    0.37933E+01    0.28989E-01    0.84939E+02
   265    0.51186E+04    0.39076E+01    0.29193E-01    0.86320E+02
   266    0.50936E+04    0.40243E+01    0.29397E-01    0.87694E+02
   267    0.50681E+04    0.41430E+01    0.29600E-01    0.89037E+02
   268    0.50422E+04    0.42640E+01    0.29802E-01    0.90365E+02
   269    0.50157E+04    0.43872E+01    0.30004E-01    0.91670E+02
   270    0.49890E+04    0.45125E+01    0.30205E-01    0.92952E+02
   271    0.49619E+04    0.46399E+01    0.30406E-01    0.94212E+02
   272    0.49346E+04    0.47696E+01    0.30606E-01    0.95442E+02
   273    0.49068E+04    0.49011E+01    0.30806E-01    0.96656E+02
   274    0.48787E+04    0.50350E+01    0.31004E-01    0.97833E+02
   275    0.48502E+04    0.51707E+01    0.31203E-01    0.98994E+02
   276    0.48215E+04    0.53085E+01    0.31400E-01    0.10012E+03
   277    0.47923E+04    0.54484E+01    0.31597E-01    0.10123E+03
   278    0.47630E+04    0.55903E+01    0.31793E-01    0.10230E+03
   279    0.47333E+04    0.57341E+01    0.31988E-01    0.10334E+03
   280    0.47033E+04    0.58798E+01    0.32183E-01    0.10436E+03
   281    0.46732E+04    0.60275E+01    0.32377E-01    0.10535E+03
   282    0.46427E+04    0.61769E+01    0.32570E-01    0.10631E+03
   283    0.46120E+04    0.63282E+01    0.32762E-01    0.10724E+03
   284    0.45810E+04    0.64814E+01    0.32954E-01    0.10814E+03
   285    0.45499E+04    0.66364E+01    0.33145E-01    0.10900E+03
   286    0.45184E+04    0.67931E+01    0.33335E-01    0.10983E+03
   287    0.44868E+04    0.69515E+01    0.33524E-01    0.11064E+03
   288    0.44549E+04    0.71116E+01    0.33713E-01    0.11141E+03
   289    0.44229E+04    0.72733E+01    0.33900E-01    0.11215E+03
   290    0.43907E+04    0.74364E+01    0.34087E-01    0.11286E+03
   291    0.43584E+04    0.76018E+01    0.34273E-01    0.11353E+03
   292    0.43256E+04    0.77683E+01    0.34458E-01    0.11417E+03
   293    0.42930E+04    0.79355E+01    0.34642E-01    0.11476E+03
   294    0.42601E+04    0.81049E+01    0.34826E-01    0.11534E+03
   295    0.42273E+04    0.82750E+01    0.35008E-01    0.11587E+03
   296    0.41941E+04    0.84473E+01    0.35190E-01    0.11637E+03
   297    0.41609E+04    0.86196E+01    0.35370E-01    0.11684E+03
   298    0.41275E+04    0.87942E+01    0.35550E-01    0.11726E+03
   299    0.40941E+04    0.89701E+01    0.35729E-01    0.11765E+03
   300    0.40606E+04    0.91461E+01    0.35907E-01    0.11800E+03
   301    0.40269E+04    0.93235E+01    0.36084E-01    0.11832E+03
   302    0.39933E+04    0.95017E+01    0.36261E-01    0.11861E+03
   303    0.39596E+04    0.96813E+01    0.36436E-01    0.11885E+03
   304    0.39259E+04    0.98623E+01    0.36610E-01    0.11905E+03
   305    0.38921E+04    0.10043E+02    0.36784E-01    0.11922E+03
